1,21,1,MPUの高速化技術の一つであるスーパスカラの特徴として、適切なものはどれか。,同時に実行可能な複数の動作をまとめて一つの命令として実行する。,独立した複数の命令ストリームを用意し、これらの実行を切り替えながら行う。,パイプラインの深さを増すとともに、パイプラインピッチを短くして、平均命令実行時間を短縮する。,パイプラインを複数用意し、同時に複数の命令を実行する。,エ,;
259,31,9,ほとんどのプログラムの大きさがページサイズの半分以下のシステムにおいて、ページサイズを半分にしたときに予想されるものはどれか。ここで、このシステム は主記憶が不足しがちで、多重度やスループットなどはシステム性能の限界で運用しているものとする。,ページサイズが小さくなるので、領域管理などのオーバヘッドが減少する。,ページ内に余裕がなくなるので、ページ置換えによってシステム性能が低下する。,ページ内の無駄な空き領域が減少するので、主記憶不足が緩和される。,ページフォールトの回数が増加するので、システム性能が低下する。,ウ,;
260,31,10,ページング方式の仮想記憶において、ページ置換えアルゴリズムに LRU 方式を採用した場合、ページの参照順序が 1、2、3、2、3、1、4、2、4、3、1 であるプログ ラムを実行するとき、ページの読込みは何回発生するか。ここで、主記憶のページ 枠は3で、初期状態では主記憶にどのページも存在しないものとする。,4,5,6,7,エ,;
261,31,11,コンパイラによる最適化において、オブジェクトコードの所要記憶容量が削減できるものはどれか。,関数のインライン展開,定数の畳み込み,ループ内不変式の移動,ループのアンローリング,イ,;
262,31,12,アドレス線が10本で、1Mワードの容量をもつDRAMがある。リフレッシュのためにDRAM内の全ROWアドレスを51.2ミリ秒の間に少なくとも1回は選択する必要がある。このときの平均リフレッシュ周期は何マイクロ秒か。,0.049,12.8,50,2560,ウ,;
263,31,13,SoCを構成するための部分回路情報で、機能単位にまとめられるものをIPコアと呼ぶ。このIPコアの説明として、適切なものはどれか。,Pコアは、SoC構成要素のアナログ回路だけを対象としている。,IPコアは、動作が確認されているので検証の必要がない。,IPコアは、どの半導体製造プロセス技術でも自由に使うことが可能である。,IPコアを利用することによって、SoC全体を一から設計するよりも開発期間を短縮できる。,エ,;
264,31,14,SRAM 型のFPGAの特徴として、適切なものはどれか。,回路の書換えが高速に行え、書換え回数に制限がない。,電源投入時に毎回コンフィギュレーションする必要がない。,論理ブロック間の接続にはアンチヒューズが使用され、高速動作が可能である。,論理ブロック内は AND ゲートと OR ゲートのアレイ構造である。,ア,;
265,31,15,表のインターバルタイマを用いて約 20 ミリ秒ごとにタイマ割込みを発生させたいとき、16 ビットタイマコンペアレジスタに設定する値は 10 進数で幾つか。ここで、システムクロックは 32 MHz とする。,1,19,1999,19999,エ,31-15;
266,31,16,TTL レベルの2入力 AND 回路を3入力 AND 回路にするために入力部に回路を追加した。 3入力 AND回路として、適切なものはどれか。,,,,,ウ,31-16;
267,31,17,1台のクライアントと1台のサーバとの間での FTP を用いたファイル転送では、二つのコネクションを用いてデータ転送を行う。これらのコネクションの説明とし
て、適切なものはどれか。,二つのコネクションはデータ転送用と受領応答用に分かれており、高速な転送を行うことが可能である。,二つのコネクションはデータ転送用と制御用に分かれており、データ転送中でも制御コマンドを送信することが可能である。,二つのコネクションはデータ転送用とチェックデータ転送用に分かれており、信頼性を向上させることが可能である。,二つのコネクションはバイナリデータ転送用とテキストデータ転送用に分かれており、バイナリデータとテキストデータを効率的に転送することが可能である。,イ,;
268,31,18,共通鍵暗号方式において、100人の送受信者のそれぞれが、相互に暗号化通信を行うときに必要な共通鍵の総数は幾つか。,200,950,9900,10000,イ,;
269,31,19,SAML(Security Assertion Markup Language)の説明はどれか。,Web サーバにある利用者のリソースに、Web サーバに限らない他のサーバが利用者に代わってアクセスすることを許可するための認証プロトコル,異なるインターネットドメイン間で利用者情報を共有してシングルサインオンに利用するための、XML をベースにした標準規格,利用者 ID として URL 又は XRI(Extensible Resource Identifier)だけを使用することができ、一つの利用者 ID で様々なWebサイトにログインできる仕組み,利用者が文書やデータの属性情報や論理構造を定義する言語であるSGMLを、インターネット用に最適化したもの,イ,;
270,31,20,IoT の要素技術の一つである SoC の開発に関する記述のうち、適切なものはどれか。,全て検証済みの IP モジュールを用いるので、システム検証をすることなく開発,設計、製造に要する期間が、汎用部品を組み合わせて設計、製造するシステム,チップの性能の向上をしやすくするために、CPU は必ず外付けになるように開発する。,ワンチップで実現しているので、小型で低消費電力のシステムを開発することができる。,エ,;
271,31,21,C 言語で作成されたプログラム全体で使用するスタックフレームのサイズが、確保したサイズ内に収まっていることを検証したい。各関数が使用するスタックフレームのサイズ情報に加え、必要となる情報はどれか。,各関数が使用するレジスタの退避領域のサイズ,各関数が使用するローカル変数のサイズ,各関数の呼出し関係(呼出しツリー),グローバル変数の合計サイズ,ウ,;
272,31,22,組込みソフトウェア開発を行うために、ターゲットシステム上で未完成の周辺ハードウェアが正しく動作しているようにエミュレーションするデバイスドライバを開発した。このデバイスドライバのソフトウェアテストにおける役割はどれか。,CPU シミュレータ,インサーキットエミュレータ,仮想デバイスドライバ,スタブ,エ,;
273,31,23,ソフトウェアのテスト手法のうち、ファジングはどれか。,テスト対象に問題を引き起こす可能性があるデータを大量に送り込み、その応答や挙動を監視することによって脆弱性を検出する。,テスト対象の振る舞いを状態遷移表で整理し、発生し得る遷移をテストする。,同値分割で得られた、同値クラスの境界となる値、及びその前後の値を明らかにして、それらをテストデータとする。,プログラムの処理経路を網羅するようにテストを実施し、正しく動作することを検証する。,ア,;
274,31,24,サブルーチンへの引数の受渡し方のうち、引数として渡した変数の値が、サブルーチンの実行後に変更されないことが保証されているものはどれか。,値呼出し,結果呼出し,参照呼出し,名前呼出し,ア,;
275,31,25,A社は、保有する特許の専用実施権を、組込み機器システムを開発して販売するB社に許諾した。A社又はB社が受ける制限に関する説明のうち、適切なものはどれか。ここで、B社の専用実施権は特許原簿に設定登録されるものとする。,A社は、許諾した権利の範囲において当該特許を使用できなくなる。,A社は、B社に許諾したものと同じ範囲でしか、B社以外には専用実施権を許諾することができない。,B社は、A社と競合する自社の組込み機器システムの販売を止めなくてはならない。,B社はA社の特許を使うB社の組込み機器システムの独占販売権を、A社に対し与えなくてはならない。,ア,
